Row Type,Status,Sync errors,Advertiser,Engine,Account,Authorization status,Last authorization status update time,Campaign,Engine status,Daily budget,Engine bid strategy name,Clicks,Impr,Cost,CTR,Avg CPC,Avg pos,,BU,CHANNEL
campaign,Active,,Supermoney_Telefonia,Google AdWords,Supermoney_Telefonia,,,|2007|Telefonia|Search|Copertura_[E],ELIGIBLE,37,(manual; Enhanced CPC),1161,7452,264.36,0.1558,0.23,1.95,,TELEFONIA,SEARCH
campaign,Active,,Supermoney_Telefonia,Google AdWords,Supermoney_Telefonia,,,|2201|Telefonia|CTC_[E],ELIGIBLE,250,(manual; Enhanced CPC),349,9648,331.4,0.0362,0.95,2.03,,TELEFONIA,CTC
campaign,Active,,Supermoney_Telefonia,Google AdWords,Supermoney_Telefonia,,,|2202|Telefonia|CTC_[P],ELIGIBLE,250,(manual; Enhanced CPC),1316,43324,1306.66,0.0304,0.99,2.04,,TELEFONIA,CTC
campaign,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,,,|0007|Prestiti|Search|Nome_Brand_[E],ELIGIBLE,200,"CPA Target |0007|_1,60€",153,3012,46.87,0.0508,0.31,4.9,,PRESTITI,SEARCH
campaign,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,,,|1204|Energia|CTC|Night_[P],ELIGIBLE,7,(manual; Enhanced CPC),75,813,25.48,0.0923,0.34,1.85,,ENERGIA,CTC
campaign,Active,,Supermoney,Google AdWords,Supermoney - AdWords,,,|0034|PRES|SEAR|MUMA|SUPE|NOSK|,ELIGIBLE,200,(manual; Enhanced CPC),24,65,11.22,0.3692,0.47,1.86,,PRESTITI,SEARCH
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
